LONGITUDE,LATITUDE,RSSI,APnumber,,,,
-7414.916941,4864881.275,-8.379310345,101,,4864881.275,-8.379310345,101
-7414.916941,4864881.275,-1.551724138,115,,4864881.275,-1.551724138,115
-7414.916941,4864881.275,-1,116,,4864881.275,-1,116
-7414.916941,4864881.275,-46.44827586,176,,4864881.275,-46.44827586,176
-7414.916941,4864881.275,-38.13793103,177,,4864881.275,-38.13793103,177
-7417.5023,4864893.033,-26.5,141,,4864893.033,-26.5,141
-7422.259,4864895.579,-14,114,,4864895.579,-14,114
-7422.259,4864895.579,-55.6,146,,4864895.579,-55.6,146
-7422.259,4864895.579,-54.8,147,,4864895.579,-54.8,147
-7425.6611,4864873.133,-35.6,503,,4864873.133,-35.6,503
-7432.4481,4864883.153,-51.95,107,,4864883.153,-51.95,107
-7432.4481,4864883.153,-51.95,108,,4864883.153,-51.95,108
-7435.0675,4864878.155,-30.1,102,,,,
-7435.1373,4864861.71,-34.375,140,,,,
-7435.1373,4864861.71,-0.425,274,,,,
-7435.1373,4864861.71,-22.875,478,,,,
-7439.6245,4864864.126,-46.9,113,,,,
-7439.6245,4864864.126,-11.9,261,,,,
-7439.6245,4864864.126,-8.2,334,,,,
-7439.6245,4864864.126,-9,351,,,,
-7453.1704,4864828.667,-9,109,,,,
-7453.1704,4864828.667,-16,111,,,,
-7453.1704,4864828.667,-15.5,112,,,,
-7453.1704,4864828.667,-21.71428571,174,,,,
-7453.1704,4864828.667,-22.78571429,175,,,,
-7453.1704,4864828.667,-27.78571429,188,,,,
-7453.1704,4864828.667,-27.42857143,189,,,,
-7453.1704,4864828.667,-1.785714286,259,,,,
-7453.1704,4864828.667,-3.285714286,262,,,,
-7453.1704,4864828.667,-1.642857143,282,,,,
-7453.1704,4864828.667,-38.42857143,316,,,,
-7453.1704,4864828.667,-20.21428571,329,,,,
-7453.1704,4864828.667,-14.21428571,338,,,,
-7453.1704,4864828.667,-2.5,370,,,,
-7453.1704,4864828.667,-3.5,405,,,,
-7457.7555,4864815.286,-17.25,83,,,,
-7457.7555,4864815.286,-62.7,258,,,,
-7457.7555,4864815.286,-18.6,284,,,,
-7457.7555,4864815.286,-28.5,312,,,,
-7457.7555,4864815.286,-6.45,372,,,,
-7457.7555,4864815.286,-6.55,386,,,,
-7457.7555,4864815.286,-0.2,396,,,,
-7458.0493,4864831.358,-8.8,318,,,,
-7458.3811,4864852.15,-9.588235294,314,,,,
-7458.3811,4864852.15,-19.64705882,390,,,,
-7460.7679,4864810.03,-36.25,288,,,,
-7460.7679,4864810.03,-49.05,315,,,,
-7460.7679,4864810.03,-7.6,317,,,,
-7460.7679,4864810.03,-1.9,340,,,,
-7460.7679,4864810.03,-17.2,344,,,,
-7460.7679,4864810.03,-13.1,371,,,,
-7466.9637,4864820.413,-18.13333333,278,,,,
-7466.9637,4864820.413,-1.833333333,295,,,,
-7466.9637,4864820.413,-7.866666667,313,,,,
-7466.9637,4864820.413,-0.6,369,,,,
-7466.9637,4864820.413,-25.63333333,375,,,,
-7469.8715,4864864.365,-48,38,,,,
-7469.8715,4864864.365,-49.6,311,,,,
-7469.8892,4864815.057,-14.1,260,,,,
-7469.8892,4864815.057,-21.9,263,,,,
-7469.8892,4864815.057,-32.85,368,,,,
-7469.8892,4864815.057,-24.3,400,,,,
-7470.5395,4864863.624,-40.41666667,179,,,,
-7470.5395,4864863.624,-23,256,,,,
-7501.2384,4864863.082,-62,178,,,,
-7501.2384,4864863.082,-73,310,,,,
-7502.8468,4864860.186,-4.5,10,,,,
-7502.8468,4864860.186,-0.65,110,,,,
-7502.8468,4864860.186,-0.1,124,,,,
-7502.8468,4864860.186,-0.1,187,,,,
-7504.9068,4864865.545,-15.81818182,15,,,,
-7504.9068,4864865.545,-21.54545455,123,,,,
-7506.5593,4864862.57,-9.222222222,366,,,,
-7506.5593,4864862.57,-15.48148148,374,,,,
-7511.5633,4864853.561,-18.75,16,,,,
-7511.5633,4864853.561,-37.25,119,,,,
-7511.7783,4864841.672,-21.8,186,,,,
-7511.7783,4864841.672,-9.8,255,,,,
-7516.413621,4864937.65,-24.825,223,,,,
-7516.413621,4864937.65,-10.375,248,,,,
-7516.5267,4864844.625,-0.111111111,37,,,,
-7516.5267,4864844.625,-26.66666667,46,,,,
-7516.5267,4864844.625,-22,184,,,,
-7516.5267,4864844.625,-0.444444444,257,,,,
-7516.5267,4864844.625,-55.33333333,367,,,,
-7523.4945,4864951.885,-12.4,150,,,,
-7523.4945,4864951.885,-18.53333333,151,,,,
-7526.391456,4864919.348,-26.9,169,,,,
-7526.391456,4864919.348,-1.333333333,222,,,,
-7527.4026,4864929.238,-36.7,8,,,,
-7528.608069,4864959.505,-38.48979592,105,,,,
-7528.608069,4864959.505,-33.81632653,172,,,,
-7528.608069,4864959.505,-34.14285714,173,,,,
-7536.4929,4864918.06,-8.642857143,120,,,,
-7536.4929,4864918.06,-3.821428571,134,,,,
-7536.4929,4864918.06,-10.60714286,135,,,,
-7536.5658,4864934.328,-4.033333333,103,,,,
-7536.5658,4864934.328,-56.03333333,104,,,,
-7536.5658,4864934.328,-60.13333333,106,,,,
-7537.241,4864895.732,-24.15,125,,,,
-7537.241,4864895.732,-6.35,168,,,,
-7541.1688,4864920.727,-22,23,,,,
-7541.1688,4864920.727,-22,24,,,,
-7541.1688,4864920.727,-21.33333333,27,,,,
-7541.1688,4864920.727,-16,28,,,,
-7541.1688,4864920.727,-22,143,,,,
-7541.1688,4864920.727,-26.66666667,155,,,,
-7541.1688,4864920.727,-27.33333333,166,,,,
-7541.1688,4864920.727,-26.66666667,167,,,,
-7549.379435,4864878.414,-31.79032258,182,,,,
